Sun Apr 11 2010,60947,3,1,0
Mon Apr 12 2010,77797,3,1,0
Tue Apr 13 2010,44484,3,1,0
Wed Apr 14 2010,39143,3,1,0
Thu Apr 15 2010,47465,3,1,0
Fri Apr 16 2010,39414,3,1,0
Sat Apr 17 2010,37748,3,1,0
Sun Apr 18 2010,77611,3,1,0
Mon Apr 19 2010,79140,3,1,0
Tue Apr 20 2010,46610,3,1,0
Wed Apr 21 2010,40636,3,1,0
Thu Apr 22 2010,50643,3,1,0
Fri Apr 23 2010,39957,3,1,0
Sat Apr 24 2010,34855,3,1,0
Sun Apr 25 2010,101219,3,1,0
Mon Apr 26 2010,67453,3,1,0
Tue Apr 27 2010,49225,3,1,0
Wed Apr 28 2010,42626,3,1,0
Thu Apr 29 2010,45854,3,1,0
Fri Apr 30 2010,41107,3,1,0
Sat May 01 2010,37567,3,1,0
Sun May 02 2010,76184,3,1,0
Mon May 03 2010,89414,3,1,0
Tue May 04 2010,49300,3,1,0
Wed May 05 2010,42884,3,1,0
Thu May 06 2010,42417,3,1,0
Fri May 07 2010,35720,3,1,0
Sat May 08 2010,40778,3,1,0
Sun May 09 2010,74325,3,1,0
Mon May 10 2010,78470,3,1,0
Tue May 11 2010,49285,3,1,0
Wed May 12 2010,44524,3,1,0
Thu May 13 2010,45936,3,1,0
Fri May 14 2010,42840,3,1,0
Sat May 15 2010,40908,3,1,0
Sun May 16 2010,81823,3,1,0
Mon May 17 2010,85038,3,1,0
Tue May 18 2010,64199,3,1,0
Wed May 19 2010,45726,3,1,0
Thu May 20 2010,48518,3,1,0
Fri May 21 2010,42841,3,1,0
Sat May 22 2010,43310,3,1,0
Sun May 23 2010,82962,3,1,0
Mon May 24 2010,81544,3,1,0
Tue May 25 2010,41589,3,1,0
Wed May 26 2010,32315,3,1,0
Thu May 27 2010,27946,3,1,0
Fri May 28 2010,26034,3,1,0
Sat May 29 2010,13980,3,1,0
Sun May 30 2010,12531,3,1,0
Mon May 31 2010,21125,3,1,0
Tue Jun 01 2010,44357,3,1,0
Wed Jun 02 2010,41225,3,1,0
Thu Jun 03 2010,42260,3,1,0
Fri Jun 04 2010,39757,3,1,0
Sat Jun 05 2010,38153,3,1,0
Sun Jun 06 2010,81571,3,1,0
Mon Jun 07 2010,81873,3,1,0
Tue Jun 08 2010,51822,3,1,0
Wed Jun 09 2010,42016,3,1,0
Thu Jun 10 2010,38693,3,1,0
Fri Jun 11 2010,35879,3,1,0
Sat Jun 12 2010,31732,3,1,0
Sun Jun 13 2010,75317,3,1,0
Mon Jun 14 2010,73699,3,1,0
Tue Jun 15 2010,40802,3,1,0
Wed Jun 16 2010,30388,3,1,0
Thu Jun 17 2010,26469,3,1,0
Fri Jun 18 2010,20567,3,1,0
Sat Jun 19 2010,15239,3,1,0
Sun Jun 20 2010,15818,3,1,0
Mon Jun 21 2010,23799,3,1,0
Tue Jun 22 2010,20411,3,1,0
Wed Jun 23 2010,15296,3,1,0
Thu Jun 24 2010,14389,3,1,0
Fri Jun 25 2010,13347,3,1,0
Sat Jun 26 2010,5797,3,1,0
Sun Jun 27 2010,5211,3,1,0
Mon Jun 28 2010,10290,3,1,0
Tue Jun 29 2010,9374,3,1,0
Wed Jun 30 2010,9189,3,1,0
Thu Jul 01 2010,7519,3,1,0
Fri Jul 02 2010,5574,3,1,0
Sat Jul 03 2010,3913,3,1,0
Sun Jul 04 2010,2910,3,1,0
Mon Jul 05 2010,4778,3,1,0
Tue Jul 06 2010,9656,3,1,0
Wed Jul 07 2010,10530,3,1,0
Thu Jul 08 2010,10678,3,1,0
Fri Jul 09 2010,10931,3,1,0
Sat Jul 10 2010,7537,3,1,0
Sun Jul 11 2010,6090,3,1,0
Mon Jul 12 2010,9804,3,1,0
Tue Jul 13 2010,9022,3,1,0
Wed Jul 14 2010,8174,3,1,0
Thu Jul 15 2010,6992,3,1,0
Fri Jul 16 2010,6456,3,1,0
Sat Jul 17 2010,4526,3,1,0
Sun Jul 18 2010,5825,3,1,0
Mon Jul 19 2010,11213,3,1,0
Tue Jul 20 2010,18782,3,1,0
Wed Jul 21 2010,12157,3,1,0
Thu Jul 22 2010,12923,3,1,0
Fri Jul 23 2010,10197,3,1,0
Sat Jul 24 2010,6569,3,1,0
Sun Jul 25 2010,9229,3,1,0
Mon Jul 26 2010,16031,3,1,0
Tue Jul 27 2010,12889,3,1,0
Wed Jul 28 2010,10384,3,1,0
Thu Jul 29 2010,9520,3,1,0
Fri Jul 30 2010,8865,3,1,0
Sat Jul 31 2010,5771,3,1,0
Sun Aug 01 2010,6987,3,1,0
Mon Aug 02 2010,13505,3,1,0
Tue Aug 03 2010,11558,3,1,0
Wed Aug 04 2010,11591,3,1,0
Thu Aug 05 2010,10740,3,1,0
Fri Aug 06 2010,10713,3,1,0
Sat Aug 07 2010,6155,3,1,0
Sun Aug 08 2010,8122,3,1,0
Mon Aug 09 2010,13321,3,1,0
Tue Aug 10 2010,12870,3,1,0
Wed Aug 11 2010,14550,3,1,0
Thu Aug 12 2010,15888,3,1,0
Fri Aug 13 2010,13495,3,1,0
Sat Aug 14 2010,11568,3,1,0
Sun Aug 15 2010,13566,3,1,0
Mon Aug 16 2010,17795,3,1,0
Tue Aug 17 2010,16240,3,1,0
Wed Aug 18 2010,17089,3,1,0
Thu Aug 19 2010,14956,3,1,0
Fri Aug 20 2010,13891,3,1,0
Sat Aug 21 2010,11131,3,1,0
Sun Aug 22 2010,13941,3,1,0
Mon Aug 23 2010,20814,3,1,0
Tue Aug 24 2010,17799,3,1,0
Wed Aug 25 2010,21802,3,1,0
Thu Aug 26 2010,26800,3,1,0
Fri Aug 27 2010,52967,3,1,0
Sat Aug 28 2010,24395,3,1,0
Sun Aug 29 2010,22295,3,1,0
Mon Aug 30 2010,39967,3,1,0
Tue Aug 31 2010,37386,3,1,0
Wed Sep 01 2010,30306,3,1,0
Thu Sep 02 2010,27753,3,1,0
Fri Sep 03 2010,26525,3,1,0
Sat Sep 04 2010,18837,3,1,0
Sun Sep 05 2010,17897,3,1,0
Mon Sep 06 2010,30995,3,1,0
Tue Sep 07 2010,49974,3,1,0
Wed Sep 08 2010,52662,3,1,0
Thu Sep 09 2010,42653,3,1,0
Fri Sep 10 2010,42423,3,1,0
Sat Sep 11 2010,46353,3,1,0
Sun Sep 12 2010,65094,3,1,0
Mon Sep 13 2010,72050,3,1,0
Tue Sep 14 2010,44508,3,1,0
Wed Sep 15 2010,43907,3,1,0
Thu Sep 16 2010,45606,3,1,0
Fri Sep 17 2010,38508,3,1,0
Sat Sep 18 2010,47143,3,1,0
Sun Sep 19 2010,63423,3,1,0
Mon Sep 20 2010,75774,3,1,0
Tue Sep 21 2010,44998,3,1,0
Wed Sep 22 2010,42199,3,1,0
Thu Sep 23 2010,45358,3,1,0
Fri Sep 24 2010,49814,3,1,0
Sat Sep 25 2010,51964,3,1,0
Sun Sep 26 2010,65413,3,1,0
Mon Sep 27 2010,79904,3,1,0
Tue Sep 28 2010,50689,3,1,0
Wed Sep 29 2010,40856,3,1,0
Thu Sep 30 2010,42934,3,1,0
Fri Oct 01 2010,48331,3,1,0
Sat Oct 02 2010,54675,3,1,0
Sun Oct 03 2010,61182,3,1,0
Mon Oct 04 2010,76089,3,1,0
Tue Oct 05 2010,47728,3,1,0
Wed Oct 06 2010,32946,3,1,0
Thu Oct 07 2010,29218,3,1,0
Fri Oct 08 2010,26294,3,1,0
Sat Oct 09 2010,19188,3,1,0
Sun Oct 10 2010,20153,3,1,0
Mon Oct 11 2010,37585,3,1,0
Tue Oct 12 2010,37720,3,1,0
Wed Oct 13 2010,34975,3,1,0
Thu Oct 14 2010,42478,3,1,0
Fri Oct 15 2010,39256,3,1,0
Sat Oct 16 2010,55134,3,1,0
Sun Oct 17 2010,65414,3,1,0
Mon Oct 18 2010,74691,3,1,0
Tue Oct 19 2010,43081,3,1,0
Wed Oct 20 2010,40276,3,1,0
Thu Oct 21 2010,39076,3,1,0
Fri Oct 22 2010,40648,3,1,0
Sat Oct 23 2010,52499,3,1,0
Sun Oct 24 2010,66834,3,1,0
Mon Oct 25 2010,81505,3,1,0
Tue Oct 26 2010,49684,3,1,0
Wed Oct 27 2010,42713,3,1,0
Thu Oct 28 2010,41537,3,1,0
Fri Oct 29 2010,36325,3,1,0
Sat Oct 30 2010,51466,3,1,0
Sun Oct 31 2010,54764,3,1,0
Mon Nov 01 2010,68444,3,1,0
Tue Nov 02 2010,44207,3,1,0
Wed Nov 03 2010,39554,3,1,0
Thu Nov 04 2010,35874,3,1,0
Fri Nov 05 2010,35232,3,1,0
Sat Nov 06 2010,50909,3,1,0
Sun Nov 07 2010,58621,3,1,0
Mon Nov 08 2010,69339,3,1,0
Tue Nov 09 2010,41956,3,1,0
Wed Nov 10 2010,39271,3,1,0
Thu Nov 11 2010,38520,3,1,0
Fri Nov 12 2010,38217,3,1,0
Sat Nov 13 2010,52847,3,1,0
Sun Nov 14 2010,68636,3,1,0
Mon Nov 15 2010,81037,3,1,0
Tue Nov 16 2010,49501,3,1,0
Wed Nov 17 2010,36100,3,1,0
Thu Nov 18 2010,30828,3,1,0
Fri Nov 19 2010,32780,3,1,0
Sat Nov 20 2010,47185,3,1,0
Sun Nov 21 2010,61093,3,1,0
Mon Nov 22 2010,65044,3,1,0
Tue Nov 23 2010,33354,3,1,0
Wed Nov 24 2010,17527,3,1,0
Thu Nov 25 2010,9175,3,1,0
Fri Nov 26 2010,10104,3,1,0
Sat Nov 27 2010,10219,3,1,0
Sun Nov 28 2010,8966,3,1,0
Mon Nov 29 2010,12712,3,1,0
Tue Nov 30 2010,10909,3,1,0
Wed Dec 01 2010,9304,3,1,0
Thu Dec 02 2010,8905,3,1,0
Fri Dec 03 2010,7533,3,1,0
Sat Dec 04 2010,6446,3,1,0
Sun Dec 05 2010,5894,3,1,0
Mon Dec 06 2010,9416,3,1,0
Tue Dec 07 2010,8088,3,1,0
Wed Dec 08 2010,8743,3,1,0
Thu Dec 09 2010,7654,3,1,0
Fri Dec 10 2010,8647,3,1,0
Sat Dec 11 2010,4953,3,1,0
Sun Dec 12 2010,5125,3,1,0
Mon Dec 13 2010,7519,3,1,0
Tue Dec 14 2010,7027,3,1,0
Wed Dec 15 2010,6928,3,1,0
Thu Dec 16 2010,6563,3,1,0
Fri Dec 17 2010,5761,3,1,0
Sat Dec 18 2010,4126,3,1,0
Sun Dec 19 2010,4169,3,1,0
Mon Dec 20 2010,6318,3,1,0
Tue Dec 21 2010,7340,3,1,0
Wed Dec 22 2010,5346,3,1,0
Thu Dec 23 2010,4457,3,1,0
Fri Dec 24 2010,3108,3,1,0
Sat Dec 25 2010,2125,3,1,0
Sun Dec 26 2010,2648,3,1,0
Mon Dec 27 2010,3577,3,1,0
Tue Dec 28 2010,4259,3,1,0
Wed Dec 29 2010,5800,3,1,0
Thu Dec 30 2010,4019,3,1,0
Fri Dec 31 2010,4269,3,1,0
Weekly Report
Day of week,Hits, Visitors,Uniq IPs,Data Transferred(KB)
 Sunday,1708264,156,1,0
Monday,2062732,156,1,0
Tuesday,1512570,156,1,0
Wednesday,1319810,156,1,0
Thursday,1326489,156,1,0
Friday,1242903,159,1,0
Saturday,1172967,156,1,0
Hourly Report
Hour of day,Hits,Visitors,Uniq IPs,Data Transferred(KB)00:00-00:59,2570100,365,1,0
01:00-01:59,0,0,0,0
02:00-02:59,0,0,0,0
03:00-03:59,0,0,0,0
04:00-04:59,0,0,0,0
05:00-05:59,0,0,0,0
06:00-06:59,1822,1,1,0
07:00-07:59,21627,3,1,0
08:00-08:59,14984,4,1,0
09:00-09:59,5138675,357,1,0
10:00-10:59,0,0,0,0
11:00-11:59,0,0,0,0
12:00-12:59,0,0,0,0
13:00-13:59,0,0,0,0
14:00-14:59,0,0,0,0
15:00-15:59,0,0,0,0
16:00-16:59,16216,2,1,0
17:00-17:59,11137,4,1,0
18:00-18:59,10228,2,1,0
19:00-19:59,2560946,357,1,0
20:00-20:59,0,0,0,0
21:00-21:59,0,0,0,0
22:00-22:59,0,0,0,0
23:00-23:59,0,0,0,0
Daily Pageviews Report
Date,Pageviews,Total Visitor Stay Length,Average Visitor Stay Length
Fri Jan 01 2010,873,22 hours 56 mins 23 secs,7 hours 38 mins 47 secs
Sat Jan 02 2010,1735,22 hours 49 mins 13 secs,7 hours 36 mins 24 secs
Sun Jan 03 2010,1567,22 hours 56 mins 18 secs,7 hours 38 mins 46 secs
Mon Jan 04 2010,2377,22 hours 47 mins 41 secs,7 hours 35 mins 53 secs
Tue Jan 05 2010,3919,22 hours 55 mins 0 secs,7 hours 38 mins 20 secs
Wed Jan 06 2010,2543,22 hours 51 mins 48 secs,7 hours 37 mins 16 secs
Thu Jan 07 2010,2991,22 hours 49 mins 43 secs,7 hours 36 mins 34 secs
Fri Jan 08 2010,2160,22 hours 54 mins 59 secs,7 hours 38 mins 19 secs
Sat Jan 09 2010,2230,22 hours 52 mins 33 secs,7 hours 37 mins 31 secs
Sun Jan 10 2010,2168,22 hours 53 mins 47 secs,7 hours 37 mins 55 secs
Mon Jan 11 2010,2966,22 hours 52 mins 35 secs,7 hours 37 mins 31 secs
Tue Jan 12 2010,2449,22 hours 50 mins 45 secs,7 hours 36 mins 55 secs
Wed Jan 13 2010,2075,22 hours 57 mins 15 secs,7 hours 39 mins 5 secs
Thu Jan 14 2010,3280,22 hours 52 mins 20 secs,7 hours 37 mins 26 secs
Fri Jan 15 2010,1875,22 hours 56 mins 23 secs,7 hours 38 mins 47 secs
Sat Jan 16 2010,1224,22 hours 44 mins 46 secs,7 hours 34 mins 55 secs
Sun Jan 17 2010,1618,22 hours 58 mins 35 secs,7 hours 39 mins 31 secs
Mon Jan 18 2010,2679,22 hours 47 mins 55 secs,7 hours 35 mins 58 secs
Tue Jan 19 2010,2293,22 hours 51 mins 44 secs,7 hours 37 mins 14 secs
Wed Jan 20 2010,2160,22 hours 56 mins 9 secs,7 hours 38 mins 43 secs
Thu Jan 21 2010,2309,22 hours 47 mins 33 secs,7 hours 35 mins 51 secs
Fri Jan 22 2010,2255,22 hours 53 mins 2 secs,7 hours 37 mins 40 secs
Sat Jan 23 2010,2273,22 hours 58 mins 36 secs,7 hours 39 mins 32 secs
Sun Jan 24 2010,1211,22 hours 48 mins 11 secs,7 hours 36 mins 3 secs
Mon Jan 25 2010,2505,22 hours 54 mins 55 secs,7 hours 38 mins 18 secs
Tue Jan 26 2010,2944,22 hours 55 mins 30 secs,7 hours 38 mins 30 secs
Wed Jan 27 2010,2632,22 hours 56 mins 4 secs,7 hours 38 mins 41 secs
Thu Jan 28 2010,2861,22 hours 56 mins 41 secs,7 hours 38 mins 53 secs
Fri Jan 29 2010,2980,22 hours 49 mins 10 secs,7 hours 36 mins 23 secs
Sat Jan 30 2010,2282,22 hours 55 mins 56 secs,7 hours 38 mins 38 secs
Sun Jan 31 2010,2712,22 hours 55 mins 18 secs,7 hours 38 mins 26 secs
Mon Feb 01 2010,5418,22 hours 53 mins 31 secs,7 hours 37 mins 50 secs
Tue Feb 02 2010,4742,22 hours 56 mins 57 secs,7 hours 38 mins 59 secs
Wed Feb 03 2010,3367,22 hours 56 mins 46 secs,7 hours 38 mins 55 secs
Thu Feb 04 2010,2765,22 hours 53 mins 16 secs,7 hours 37 mins 45 secs
Fri Feb 05 2010,2136,22 hours 54 mins 43 secs,7 hours 38 mins 14 secs
Sat Feb 06 2010,1779,22 hours 58 mins 45 secs,7 hours 39 mins 35 secs
Sun Feb 07 2010,2398,22 hours 49 mins 58 secs,7 hours 36 mins 39 secs
Mon Feb 08 2010,4260,22 hours 53 mins 0 secs,7 hours 37 mins 40 secs
Tue Feb 09 2010,9280,22 hours 57 mins 49 secs,7 hours 39 mins 16 secs
Wed Feb 10 2010,5867,22 hours 58 mins 39 secs,7 hours 39 mins 33 secs
Thu Feb 11 2010,5734,22 hours 56 mins 6 secs,7 hours 38 mins 42 secs
Fri Feb 12 2010,4551,22 hours 56 mins 44 secs,7 hours 38 mins 54 secs
Sat Feb 13 2010,3532,22 hours 57 mins 11 secs,7 hours 39 mins 3 secs
Sun Feb 14 2010,3211,22 hours 53 mins 6 secs,7 hours 37 mins 42 secs
Mon Feb 15 2010,5422,22 hours 53 mins 40 secs,7 hours 37 mins 53 secs
Tue Feb 16 2010,5729,22 hours 56 mins 54 secs,7 hours 38 mins 58 secs
Wed Feb 17 2010,3423,22 hours 59 mins 1 secs,7 hours 39 mins 40 secs
Thu Feb 18 2010,3885,22 hours 57 mins 1 secs,7 hours 39 mins 0 secs
Fri Feb 19 2010,4021,22 hours 54 mins 49 secs,7 hours 38 mins 16 secs
Sat Feb 20 2010,3301,22 hours 43 mins 24 secs,7 hours 34 mins 28 secs
Sun Feb 21 2010,3247,22 hours 46 mins 56 secs,7 hours 35 mins 38 secs
Mon Feb 22 2010,4951,22 hours 54 mins 49 secs,7 hours 38 mins 16 secs
Tue Feb 23 2010,4166,22 hours 56 mins 36 secs,7 hours 38 mins 52 secs
Wed Feb 24 2010,5526,22 hours 55 mins 51 secs,7 hours 38 mins 37 secs
Thu Feb 25 2010,5058,22 hours 57 mins 15 secs,7 hours 39 mins 5 secs
Fri Feb 26 2010,2244,22 hours 55 mins 21 secs,7 hours 38 mins 27 secs
Sat Feb 27 2010,3290,22 hours 53 mins 17 secs,7 hours 37 mins 45 secs
Sun Feb 28 2010,3033,22 hours 51 mins 26 secs,7 hours 37 mins 8 secs
Mon Mar 01 2010,4726,22 hours 58 mins 5 secs,7 hours 39 mins 21 secs
Tue Mar 02 2010,5279,22 hours 56 mins 12 secs,7 hours 38 mins 44 secs
Wed Mar 03 2010,4623,22 hours 58 mins 24 secs,7 hours 39 mins 28 secs
Thu Mar 04 2010,5248,22 hours 51 mins 53 secs,7 hours 37 mins 17 secs
Fri Mar 05 2010,5114,22 hours 58 mins 14 secs,7 hours 39 mins 24 secs
Sat Mar 06 2010,4153,22 hours 56 mins 56 secs,7 hours 38 mins 58 secs
Sun Mar 07 2010,5031,22 hours 55 mins 0 secs,7 hours 38 mins 20 secs
Mon Mar 08 2010,7993,22 hours 39 mins 4 secs,7 hours 33 mins 1 secs
Tue Mar 09 2010,7394,22 hours 54 mins 50 secs,7 hours 38 mins 16 secs
Wed Mar 10 2010,7167,22 hours 54 mins 2 secs,7 hours 38 mins 0 secs
Thu Mar 11 2010,8261,22 hours 55 mins 39 secs,7 hours 38 mins 33 secs
Fri Mar 12 2010,5529,22 hours 54 mins 41 secs,7 hours 38 mins 13 secs
Sat Mar 13 2010,4007,22 hours 50 mins 58 secs,7 hours 36 mins 59 secs
Sun Mar 14 2010,2836,22 hours 57 mins 29 secs,7 hours 39 mins 9 secs
Mon Mar 15 2010,6396,22 hours 55 mins 11 secs,7 hours 38 mins 23 secs
Tue Mar 16 2010,9520,22 hours 56 mins 48 secs,7 hours 38 mins 56 secs
Wed Mar 17 2010,14568,22 hours 55 mins 39 secs,7 hours 38 mins 33 secs
Thu Mar 18 2010,23274,22 hours 59 mins 14 secs,7 hours 39 mins 44 secs
Fri Mar 19 2010,19630,22 hours 58 mins 33 secs,7 hours 39 mins 31 secs
Sat Mar 20 2010,8846,22 hours 58 mins 11 secs,7 hours 39 mins 23 secs
Sun Mar 21 2010,10429,22 hours 57 mins 53 secs,7 hours 39 mins 17 secs
Mon Mar 22 2010,22914,22 hours 59 mins 15 secs,7 hours 39 mins 45 secs
Tue Mar 23 2010,18340,22 hours 56 mins 16 secs,7 hours 38 mins 45 secs
Wed Mar 24 2010,17372,22 hours 59 mins 38 secs,7 hours 39 mins 52 secs
Thu Mar 25 2010,15872,22 hours 59 mins 47 secs,7 hours 39 mins 55 secs
Fri Mar 26 2010,14162,22 hours 59 mins 8 secs,7 hours 39 mins 42 secs
Sat Mar 27 2010,11439,22 hours 59 mins 4 secs,7 hours 39 mins 41 secs
Sun Mar 28 2010,21316,22 hours 59 mins 10 secs,7 hours 39 mins 43 secs
Mon Mar 29 2010,26605,22 hours 59 mins 45 secs,7 hours 39 mins 55 secs
Tue Mar 30 2010,17150,22 hours 59 mins 19 secs,7 hours 39 mins 46 secs
Wed Mar 31 2010,13110,22 hours 57 mins 38 secs,7 hours 39 mins 12 secs
Thu Apr 01 2010,9391,22 hours 54 mins 16 secs,7 hours 38 mins 5 secs
Fri Apr 02 2010,6763,22 hours 51 mins 53 secs,7 hours 37 mins 17 secs
Sat Apr 03 2010,4441,22 hours 55 mins 0 secs,7 hours 38 mins 20 secs
Sun Apr 04 2010,5242,22 hours 59 mins 16 secs,7 hours 39 mins 45 secs
Mon Apr 05 2010,11988,22 hours 56 mins 14 secs,7 hours 38 mins 44 secs
Tue Apr 06 2010,13301,22 hours 59 mins 30 secs,7 hours 39 mins 50 secs
Wed Apr 07 2010,13373,22 hours 58 mins 31 secs,7 hours 39 mins 30 secs
Thu Apr 08 2010,13783,22 hours 59 mins 4 secs,7 hours 39 mins 41 secs
Fri Apr 09 2010,12800,22 hours 57 mins 23 secs,7 hours 39 mins 7 secs
Sat Apr 10 2010,10693,22 hours 55 mins 6 secs,7 hours 38 mins 22 secs
Sun Apr 11 2010,21296,22 hours 59 mins 1 secs,7 hours 39 mins 40 secs
Mon Apr 12 2010,27415,22 hours 58 mins 58 secs,7 hours 39 mins 39 secs
Tue Apr 13 2010,17161,22 hours 59 mins 36 secs,7 hours 39 mins 52 secs
Wed Apr 14 2010,14673,22 hours 59 mins 32 secs,7 hours 39 mins 50 secs
Thu Apr 15 2010,15993,22 hours 56 mins 4 secs,7 hours 38 mins 41 secs
Fri Apr 16 2010,14014,22 hours 58 mins 8 secs,7 hours 39 mins 22 secs
Sat Apr 17 2010,13169,22 hours 58 mins 49 secs,7 hours 39 mins 36 secs
Sun Apr 18 2010,27405,22 hours 53 mins 32 secs,7 hours 37 mins 50 secs
Mon Apr 19 2010,31025,22 hours 59 mins 46 secs,7 hours 39 mins 55 secs
Tue Apr 20 2010,17695,22 hours 59 mins 47 secs,7 hours 39 mins 55 secs
Wed Apr 21 2010,14718,22 hours 59 mins 53 secs,7 hours 39 mins 57 secs
Thu Apr 22 2010,18642,22 hours 59 mins 12 secs,7 hours 39 mins 44 secs
Fri Apr 23 2010,14026,22 hours 58 mins 35 secs,7 hours 39 mins 31 secs
Sat Apr 24 2010,12385,22 hours 59 mins 39 secs,7 hours 39 mins 53 secs
Sun Apr 25 2010,38546,22 hours 59 mins 40 secs,7 hours 39 mins 53 secs
Mon Apr 26 2010,25712,22 hours 59 mins 28 secs,7 hours 39 mins 49 secs
